algorithm,global_time_warp,error_100,error_200,error_500
DTW1,1.0,29.504853967219557,15.867843824833072,4.712641002963584
DTW1,1.26,28.176801295080868,14.178652888330307,3.3935101139402213
DTW1,1.587,35.52524735320434,20.4254526835172,8.901224223804869
DTW1,2.0,98.05311176278919,96.13635070624318,90.48368994605553
DTW1,2.521,100.0,100.0,100.0
DTW1,3.175,100.0,100.0,100.0
DTW1,4.0,100.0,100.0,100.0
DTW2,1.0,24.236088483400312,11.610730965569676,3.787490884265078
DTW2,1.26,24.52753339850114,11.005859930591114,2.9136733437808706
DTW2,1.587,34.30257516279022,19.41082613125624,8.992898777845014
DTW2,2.0,98.05543918447144,96.1384195255163,90.4847243556921
DTW2,2.521,100.0,100.0,100.0
DTW2,3.175,100.0,100.0,100.0
DTW2,4.0,100.0,100.0,100.0
DTW3,1.0,47.275235716095935,37.16711404883448,20.998644923376105
DTW3,1.26,45.942657501797285,35.94444185842035,19.502629986500956
DTW3,1.587,45.72814680341562,36.08369925574227,19.865061262910725
DTW3,2.0,44.45427133599177,35.23625916099034,19.283335143550197
DTW3,2.521,45.023584539713575,36.142143400207914,20.226716732093074
DTW3,3.175,45.6398340806943,37.031477085240525,21.33353504321246
DTW3,4.0,46.61489446435683,38.16557795052419,22.423285595328608
DTW4,1.0,33.99548480193641,23.26723455755714,11.539356700647023
DTW4,1.26,34.787325378723224,23.491830749895264,10.398144269112011
DTW4,1.587,37.54738889147492,26.042684913652657,11.237955592794302
DTW4,2.0,39.263991683346525,28.16581069269241,12.045829518947798
DTW4,2.521,41.608093220996444,30.93764061505997,13.810920262533166
DTW4,3.175,43.10022912173449,33.07796345430754,15.838104547781967
DTW4,4.0,45.095346708249934,35.121439691332164,17.541389315582865
DTW5,1.0,47.67787966712697,37.40502826524332,21.113852296647995
DTW5,1.26,46.26603981442691,36.13529043636571,19.609691383884932
DTW5,1.587,46.104154706305245,36.29161559269086,19.988285310865955
DTW5,2.0,44.76498213057353,35.42128918473004,19.385612396365083
DTW5,2.521,45.34257061138781,36.339974243200054,20.349682177639167
DTW5,3.175,45.877877598307705,37.17810465122293,21.421459862320077
DTW5,4.0,46.8772466084294,38.33121279357839,22.5194856915287
DTW1_add3,1.0,35.661401521616575,21.628212488427543,7.403786973679447
DTW1_add3,1.26,33.54422359798704,19.58589996224405,5.611801579543515
DTW1_add3,1.587,32.47115290126043,18.193713892638623,4.75324158119857
DTW1_add3,2.0,31.002032614935843,16.15385808934196,4.2576300640816775
DTW1_add3,2.521,43.68441196398186,27.525123224047952,14.401180261395316
DTW1_add3,3.175,100.0,100.0,100.0
DTW1_add3,4.0,100.0,100.0,100.0
DTW1_add4,1.0,39.22468411715724,24.847295277402804,9.383129813237339
DTW1_add4,1.26,37.12935809710004,22.90544978717022,7.682948274346124
DTW1_add4,1.587,36.47341308631631,22.07378443937584,7.159019793428395
DTW1_add4,2.0,33.80205019989966,19.59120131163142,5.619042446999437
DTW1_add4,2.521,33.90807718764708,17.6404340382835,4.592908087531743
DTW1_add4,3.175,39.01159573202584,21.873238271087732,9.363346728938126
DTW1_add4,4.0,98.00630472673484,96.03989200763394,90.28870372956395
DTW2_downsampleQuantized,1.0,29.611527460989826,15.924219150025602,4.705141533098523
DTW2_downsampleQuantized,1.26,29.019845148877405,14.756241369144597,3.361960620025136
DTW2_downsampleQuantized,1.587,30.825665771902333,15.299047825929545,3.44445478854081
DTW2_downsampleQuantized,2.0,31.20813873502046,15.250042669397509,3.3618313188205664
DTW2_downsampleQuantized,2.521,35.03946272763477,16.394616932251342,3.482727945093537
DTW2_downsampleQuantized,3.175,35.99176609929298,16.505298763363278,3.50328683662017
DTW2_downsampleQuantized,4.0,42.705601845386795,18.67109393991114,3.6375014869638527
DTW2_downsampleInterpolate,1.0,29.587218834530667,15.938183680119163,4.722726496920045
DTW2_downsampleInterpolate,1.26,29.03161155849328,14.793868019674472,3.3768302585506884
DTW2_downsampleInterpolate,1.587,30.782608470780517,15.340294910187383,3.458290017429803
DTW2_downsampleInterpolate,2.0,31.280418108375095,15.308616115067727,3.3748907404821384
DTW2_downsampleInterpolate,2.521,34.947012366367204,16.408064257526622,3.496951077596239
DTW2_downsampleInterpolate,3.175,35.98892147279244,16.541503100642885,3.525138740192504
DTW2_downsampleInterpolate,4.0,42.64444237562517,18.681179433867605,3.6384065953958427
adaptiveWeight1,1.0,47.67787966712697,37.40528686765246,21.114240200261705
adaptiveWeight1,1.26,46.25879894697099,35.99176609929298,19.429704107123463
adaptiveWeight1,1.587,46.102603091850405,35.963578436696714,19.536377600893733
adaptiveWeight1,2.0,44.63180188986641,34.82171949913885,18.735485939787015
adaptiveWeight1,2.521,45.010395816847435,35.42801284736768,19.266655288160663
adaptiveWeight1,3.175,45.02255013007701,35.651316027660116,19.86105292556905
adaptiveWeight1,4.0,46.05683046543261,36.8262760735879,20.931925501817975
adaptiveWeight2,1.0,47.276011523323355,37.167243350039044,20.999550031808095
adaptiveWeight2,1.26,45.936451043977925,35.8023398345979,19.326004541058303
adaptiveWeight2,1.587,45.6863825143395,35.727474437151855,19.406429890300856
adaptiveWeight2,2.0,44.27195663754804,34.62298354771473,18.620795771333405
adaptiveWeight2,2.521,44.628569359752156,35.22022581162366,19.160111095594967
adaptiveWeight2,3.175,44.742095817364635,35.49447366651668,19.7651114317781
adaptiveWeight2,4.0,45.761506514194686,36.64473718237159,20.83533750200417
selectiveTransitions2,1.0,29.92288476159444,16.123989511086283,4.773283267906924
selectiveTransitions2,1.26,28.50031290891506,14.391870574666275,3.4250596078553066
selectiveTransitions2,1.587,35.69773516010075,20.515058418284223,8.9036809466917
selectiveTransitions2,2.0,98.07186043745183,96.1552286821104,90.51627384960719
selectiveTransitions2,2.521,100.0,100.0,100.0
selectiveTransitions2,3.175,100.0,100.0,100.0
selectiveTransitions2,4.0,100.0,100.0,100.0
selectiveTransitions3,1.0,36.21429347235799,22.09149870440193,7.624374828675903
selectiveTransitions3,1.26,34.04099882594506,20.00599957589205,5.808856615308229
selectiveTransitions3,1.587,32.92228480400524,18.667085602569475,4.942021339870802
selectiveTransitions3,2.0,31.388513915395638,16.550424883758215,4.324866690458088
selectiveTransitions3,2.521,43.811773650483325,27.645631946707216,14.358640165091776
selectiveTransitions3,3.175,100.0,100.0,100.0
selectiveTransitions3,4.0,100.0,100.0,100.0
selectiveTransitions4,1.0,39.29411886401134,25.257050794685203,9.68207419820323
selectiveTransitions4,1.26,37.36235886773521,23.32425638877252,8.002580852043216
selectiveTransitions4,1.587,36.5860344354968,22.582455378154304,7.505417720471484
selectiveTransitions4,2.0,34.10758894629862,20.12987012987013,5.892255892255893
selectiveTransitions4,2.521,34.15478388596668,18.182852591454743,4.736432424604468
selectiveTransitions4,3.175,39.231019876181165,22.147874029594462,9.354812849436506
selectiveTransitions4,4.0,97.98639234123105,96.0163591884022,90.24461201880557
selectiveTransitions5,1.0,41.03722840281981,27.336989971398573,11.123911930363544
selectiveTransitions5,1.26,39.296058382079885,25.49923195084485,9.536351740652815
selectiveTransitions5,1.587,38.77471592525356,25.035040626438477,9.303738873631346
selectiveTransitions5,2.0,36.54517525485267,22.98173749786653,7.964178394285922
selectiveTransitions5,2.521,36.55396773676344,21.677993452187,6.571733722271357
selectiveTransitions5,3.175,34.937702679638164,18.561834422049476,4.944090159143923
selectiveTransitions5,4.0,42.93911982084025,23.771379954175654,10.060797426388826
